CustomerID,FirstName,LastName,EmailAddress,BirthDate
11000,Jon,Yang,jon24@adventure-works.com,1971-10-06
11001,Eugene,Huang,eugene10@adventure-works.com,1976-05-10
11002,Ruben,Torres,ruben35@adventure-works.com,1971-02-09
11003,Christy,Zhu,christy12@adventure-works.com,1973-08-14
11004,Elizabeth,Johnson,elizabeth5@adventure-works.com,1979-08-05
11005,Julio,Ruiz,julio1@adventure-works.com,1976-08-01
11006,Janet,Alvarez,janet9@adventure-works.com,1976-12-02
11007,Marco,Mehta,marco14@adventure-works.com,1969-11-06
11008,Rob,Verhoff,rob4@adventure-works.com,1975-07-04
11009,Shannon,Carlson,shannon38@adventure-works.com,1969-09-29
11010,Jacquelyn,Suarez,jacquelyn20@adventure-works.com,1969-08-05
11011,Curtis,Lu,curtis9@adventure-works.com,1969-05-03
11012,Lauren,Walker,lauren41@adventure-works.com,1979-01-14
11013,Ian,Jenkins,ian47@adventure-works.com,1979-08-03
11014,Sydney,Bennett,sydney23@adventure-works.com,1973-11-06
11015,Chloe,Young,chloe23@adventure-works.com,1984-08-26
11016,Wyatt,Hill,wyatt32@adventure-works.com,1984-10-25
11017,Shannon,Wang,shannon1@adventure-works.com,1949-12-24
11018,Clarence,Rai,clarence32@adventure-works.com,1955-10-06
11019,Luke,Lal,luke18@adventure-works.com,1983-09-04
11020,Jordan,King,jordan73@adventure-works.com,1984-03-19
11021,Destiny,Wilson,destiny7@adventure-works.com,1984-03-02
11022,Ethan,Zhang,ethan20@adventure-works.com,1984-04-10
11023,Seth,Edwards,seth46@adventure-works.com,1984-04-09
11024,Russell,Xie,russell7@adventure-works.com,1984-03-16
11025,Alejandro,Beck,alejandro45@adventure-works.com,1951-06-22
11026,Harold,Sai,harold3@adventure-works.com,1951-10-01
11027,Jessie,Zhao,jessie16@adventure-works.com,1952-06-05
11028,Jill,Jimenez,jill13@adventure-works.com,1951-10-09
11029,Jimmy,Moreno,jimmy9@adventure-works.com,1952-06-19
11030,Bethany,Yuan,bethany10@adventure-works.com,1958-02-18
11031,Theresa,Ramos,theresa13@adventure-works.com,1953-02-18
11032,Denise,Stone,denise10@adventure-works.com,1952-12-08
11033,Jaime,Nath,jaime41@adventure-works.com,1958-09-19
11034,Ebony,Gonzalez,ebony19@adventure-works.com,1952-12-16
11035,Wendy,Dominguez,wendy12@adventure-works.com,1953-08-23
11036,Jennifer,Russell,jennifer93@adventure-works.com,1984-06-16
11037,Chloe,Garcia,chloe27@adventure-works.com,1983-05-27
11038,Diana,Hernandez,diana2@adventure-works.com,1953-09-20
11039,Marc,Martin,marc3@adventure-works.com,1954-06-16
11040,Jesse,Murphy,jesse15@adventure-works.com,1983-01-29
11041,Amanda,Carter,amanda53@adventure-works.com,1983-04-15
11042,Megan,Sanchez,megan28@adventure-works.com,1982-12-11
11043,Nathan,Simmons,nathan11@adventure-works.com,1981-08-23
11044,Adam,Flores,adam10@adventure-works.com,1954-11-21
11045,Leonard,Nara,leonard18@adventure-works.com,1955-11-16
11046,Christine,Yuan,christine4@adventure-works.com,1955-09-19
11047,Jaclyn,Lu,jaclyn12@adventure-works.com,1955-08-27
11048,Jeremy,Powell,jeremy26@adventure-works.com,1956-05-21
11049,Carol,Rai,carol8@adventure-works.com,1986-01-15
11050,Alan,Zheng,alan23@adventure-works.com,1957-03-06
11051,Daniel,Johnson,daniel18@adventure-works.com,1957-01-31
11052,Heidi,Lopez,heidi19@adventure-works.com,1957-02-03
11053,Ana,Price,ana0@adventure-works.com,1986-02-17
11054,Deanna,Munoz,deanna33@adventure-works.com,1957-09-07
11055,Gilbert,Raje,gilbert35@adventure-works.com,1957-09-02
11056,Michele,Nath,michele19@adventure-works.com,1958-10-01
11057,Carl,Andersen,carl12@adventure-works.com,1970-04-07
11058,Marc,Diaz,marc6@adventure-works.com,1965-04-23
11059,Ashlee,Andersen,ashlee19@adventure-works.com,1959-09-29
11060,Jon,Zhou,jon28@adventure-works.com,1959-09-14
11061,Todd,Gao,todd14@adventure-works.com,1976-02-20
11062,Noah,Powell,noah5@adventure-works.com,1981-03-01
11063,Angela,Murphy,angela41@adventure-works.com,1980-10-04
11064,Chase,Reed,chase21@adventure-works.com,1981-06-05
11065,Jessica,Henderson,jessica29@adventure-works.com,1979-04-08
11066,Grace,Butler,grace62@adventure-works.com,1979-05-27
11067,Caleb,Carter,caleb40@adventure-works.com,1982-03-25
11068,Tiffany,Liang,tiffany17@adventure-works.com,1966-09-19
11069,Carolyn,Navarro,carolyn30@adventure-works.com,1966-09-17
11070,Willie,Raji,willie40@adventure-works.com,1960-10-02
11071,Linda,Serrano,linda31@adventure-works.com,1960-12-23
11072,Casey,Luo,casey6@adventure-works.com,1960-08-05
11073,Amy,Ye,amy16@adventure-works.com,1962-02-11
11074,Levi,Arun,levi6@adventure-works.com,1962-02-25
11075,Felicia,Jimenez,felicia4@adventure-works.com,1963-05-16
11076,Blake,Anderson,blake9@adventure-works.com,1963-01-10
11077,Leah,Ye,leah7@adventure-works.com,1963-03-19
11078,Gina,Martin,gina1@adventure-works.com,1985-01-06
11079,Donald,Gonzalez,donald20@adventure-works.com,1970-03-07
11080,Damien,Chander,damien32@adventure-works.com,1965-01-13
11081,Savannah,Baker,savannah39@adventure-works.com,1972-01-21
11082,Angela,Butler,angela17@adventure-works.com,1972-02-01
11083,Alyssa,Cox,alyssa37@adventure-works.com,1977-03-11
11084,Lucas,Phillips,lucas7@adventure-works.com,1963-03-12
11085,Emily,Johnson,emily1@adventure-works.com,1963-01-16
11086,Ryan,Brown,ryan43@adventure-works.com,1963-06-22
11087,Tamara,Liang,tamara6@adventure-works.com,1963-04-02
11088,Hunter,Davis,hunter64@adventure-works.com,1963-05-25
11089,Abigail,Price,abigail25@adventure-works.com,1962-08-05
11090,Trevor,Bryant,trevor18@adventure-works.com,1968-12-13
11091,Dalton,Perez,dalton37@adventure-works.com,1962-10-02
11092,Cheryl,Diaz,cheryl4@adventure-works.com,1972-11-02
11093,Aimee,He,aimee13@adventure-works.com,1978-09-06
11094,Cedric,Ma,cedric15@adventure-works.com,1967-09-29
11095,Chad,Kumar,chad9@adventure-works.com,1968-02-29
11096,Andrés,Anand,andrés18@adventure-works.com,1968-02-07
11097,Edwin,Nara,edwin39@adventure-works.com,1972-10-23
11098,Mallory,Rubio,mallory7@adventure-works.com,1966-10-29
11099,Adam,Ross,adam2@adventure-works.com,1966-09-05
11100,Latasha,Navarro,latasha10@adventure-works.com,1966-03-15
11101,Abby,Sai,abby4@adventure-works.com,1970-11-05
11102,Julia,Nelson,julia7@adventure-works.com,1970-10-19
11103,Cassie,Chande,cassie13@adventure-works.com,1981-04-12
11104,Edgar,Sara,edgar11@adventure-works.com,1975-03-08
11105,Candace,Fernandez,candace15@adventure-works.com,1970-06-27
11106,Jessie,Liu,jessie9@adventure-works.com,1970-03-11
11107,Bianca,Lin,bianca7@adventure-works.com,1976-03-04
11108,Kari,Alvarez,kari25@adventure-works.com,1969-01-10
11109,Ruben,Kapoor,ruben1@adventure-works.com,1980-04-30
11110,Curtis,Yang,curtis5@adventure-works.com,1967-12-04
11111,Meredith,Gutierrez,meredith34@adventure-works.com,1967-08-23
11112,Crystal,Wang,crystal3@adventure-works.com,1968-03-08
11113,Micheal,Blanco,micheal11@adventure-works.com,1973-02-17
11114,Leslie,Moreno,leslie7@adventure-works.com,1967-11-25
11115,Alvin,Cai,alvin20@adventure-works.com,1967-08-12
11116,Clinton,Carlson,clinton14@adventure-works.com,1979-04-02
11117,April,Deng,april1@adventure-works.com,1966-08-21
11118,Alvin,Zeng,alvin21@adventure-works.com,1962-12-31
11119,Evan,James,evan8@adventure-works.com,1940-10-07
11120,Beth,Jiménez,beth8@adventure-works.com,1942-02-06
11121,Orlando,Suarez,orlando19@adventure-works.com,1966-05-18
11122,Byron,Vazquez,byron9@adventure-works.com,1965-09-30
11123,Philip,Alvarez,philip4@adventure-works.com,1965-12-18
11124,Ross,Jordan,ross1@adventure-works.com,1968-07-23
11125,Dana,Navarro,dana2@adventure-works.com,1961-10-06
11126,Shaun,Carson,shaun16@adventure-works.com,1954-10-05
11127,Jan,Edwards,jan11@adventure-works.com,1981-04-19
11128,Samantha,Long,samantha35@adventure-works.com,1981-06-03
11129,Julia,Wright,julia17@adventure-works.com,1981-02-01
11130,Caroline,Russell,caroline21@adventure-works.com,1985-07-05
11131,Amanda,Rivera,amanda7@adventure-works.com,1985-09-09
11132,Melissa,Richardson,melissa31@adventure-works.com,1986-04-25
11133,Angela,Griffin,angela23@adventure-works.com,1986-03-08
11134,Larry,Townsend,larry14@adventure-works.com,1957-02-22
11135,Marcus,Harris,marcus14@adventure-works.com,1985-05-02
11136,Brianna,Morgan,brianna30@adventure-works.com,1984-04-24
11137,Jasmine,Taylor,jasmine7@adventure-works.com,1984-01-17
11138,Lauren,Davis,lauren23@adventure-works.com,1984-03-14
11139,Tanya,Moreno,tanya2@adventure-works.com,1949-11-05
11140,Javier,Alvarez,javier1@adventure-works.com,1982-08-11
11141,Nicole,Ramirez,nicole42@adventure-works.com,1982-12-19
11142,Eduardo,Patterson,eduardo55@adventure-works.com,1983-02-11
11143,Jonathan,Henderson,jonathan4@adventure-works.com,1982-08-04
11144,Edward,Hernandez,edward48@adventure-works.com,1985-03-08
11145,Jasmine,Coleman,jasmine46@adventure-works.com,1985-06-06
11146,Karla,Goel,karla20@adventure-works.com,1945-02-22
11147,Ernest,Wu,ernest6@adventure-works.com,1944-08-04
11148,Ross,Vazquez,ross32@adventure-works.com,1947-02-13
11149,Theodore,Gill,theodore14@adventure-works.com,1946-10-18
11150,Russell,Shen,russell6@adventure-works.com,1946-09-12
11151,Melinda,Gill,melinda9@adventure-works.com,1947-08-25
11152,James,Williams,james77@adventure-works.com,1981-07-09
11153,Angela,James,angela34@adventure-works.com,1981-12-21
11154,Megan,Walker,megan25@adventure-works.com,1982-02-18
11155,Hunter,Robinson,hunter50@adventure-works.com,1981-07-25
11156,Maria,Roberts,maria47@adventure-works.com,1981-08-06
11157,Hannah,Long,hannah32@adventure-works.com,1980-12-08
11158,Jason,Wright,jason46@adventure-works.com,1981-04-06
11159,Brianna,Hughes,brianna57@adventure-works.com,1981-03-16
11160,Maurice,Tang,maurice4@adventure-works.com,1979-07-08
11161,Emily,Wood,emily27@adventure-works.com,1979-10-20
11162,Chase,Cox,chase10@adventure-works.com,1979-09-02
11163,Gabriel,Wang,gabriel21@adventure-works.com,1980-06-18
11164,Devin,Brooks,devin63@adventure-works.com,1979-11-02
11165,Jocelyn,Alexander,jocelyn18@adventure-works.com,1979-01-15
11166,Ashley,Martinez,ashley18@adventure-works.com,1977-10-22
11167,Jasmine,Barnes,jasmine43@adventure-works.com,1978-01-29
11168,David,Rodriguez,david83@adventure-works.com,1973-11-12
11169,Bryce,Richardson,bryce8@adventure-works.com,1973-12-20
11170,Carol,Howard,carol5@adventure-works.com,1973-08-04
11171,Jonathan,Hill,jonathan43@adventure-works.com,1978-10-05
11172,Gabrielle,Adams,gabrielle58@adventure-works.com,1973-05-20
11173,Sarah,Thomas,sarah13@adventure-works.com,1973-02-28
11174,Nicholas,Robinson,nicholas19@adventure-works.com,1973-01-09
11175,Luis,Wang,luis24@adventure-works.com,1968-09-01
11176,Mason,Roberts,mason25@adventure-works.com,1979-01-21
11177,Jose,Flores,jose6@adventure-works.com,1948-01-01
11178,Nathan,Johnson,nathan55@adventure-works.com,1954-08-20
11179,Molly,Rodriguez,molly18@adventure-works.com,1959-12-08
11180,April,Anand,april18@adventure-works.com,1948-07-01
11181,Devin,Martin,devin13@adventure-works.com,1960-02-01
11182,Stephanie,Torres,stephanie19@adventure-works.com,1950-02-22
11183,Jasmine,Lee,jasmine19@adventure-works.com,1950-01-12
11184,Meghan,Hernandez,meghan3@adventure-works.com,1955-11-13
11185,Ashley,Henderson,ashley31@adventure-works.com,1950-04-07
11186,Sarah,Price,sarah25@adventure-works.com,1949-11-18
11187,Jennifer,Cooper,jennifer63@adventure-works.com,1949-08-21
11188,Catherine,Morris,catherine16@adventure-works.com,1950-03-06
11189,Lawrence,Blanco,lawrence14@adventure-works.com,1950-01-12
